County,County Code,Year,Year Code,Births,Total Population,Birth Rate
"Volusia County, FL",12127,2020,2020,4726,561497,8.42
"Unidentified Counties, FL",12999,2010,2010,13607,1275100,10.67
"Unidentified Counties, FL",12999,2020,2020,12534,1411473,8.88
"Bartow County, GA",13015,2020,2020,1303,109426,11.91
"Bibb County, GA",13021,2010,2010,2492,155547,16.02
"Bibb County, GA",13021,2020,2020,2112,152737,13.83
"Carroll County, GA",13045,2020,2020,1626,121633,13.37
"Chatham County, GA",13051,2010,2010,3818,265128,14.4
"Chatham County, GA",13051,2020,2020,3500,289463,12.09
"Cherokee County, GA",13057,2010,2010,2930,214346,13.67
"Cherokee County, GA",13057,2020,2020,2528,265274,9.53
"Clarke County, GA",13059,2010,2010,1528,116714,13.09
"Clarke County, GA",13059,2020,2020,1301,127795,10.18
"Clayton County, GA",13063,2010,2010,4066,259424,15.67
"Clayton County, GA",13063,2020,2020,3628,292646,12.4
"Cobb County, GA",13067,2010,2010,9441,688078,13.72
"Cobb County, GA",13067,2020,2020,8650,762944,11.34
"Columbia County, GA",13073,2020,2020,1656,160377,10.33
"Coweta County, GA",13077,2020,2020,1481,150849,9.82
"DeKalb County, GA",13089,2010,2010,10857,691893,15.69
"DeKalb County, GA",13089,2020,2020,10158,762009,13.33
"Douglas County, GA",13097,2020,2020,1672,147988,11.3
"Fayette County, GA",13113,2020,2020,884,115821,7.63
"Forsyth County, GA",13117,2020,2020,2175,250847,8.67
"Fulton County, GA",13121,2010,2010,13988,920581,15.19
"Fulton County, GA",13121,2020,2020,12104,1077402,11.23
"Gwinnett County, GA",13135,2010,2010,11344,805321,14.09
"Gwinnett County, GA",13135,2020,2020,10560,942627,11.2
"Hall County, GA",13139,2010,2010,2621,179684,14.59
"Hall County, GA",13139,2020,2020,2483,206591,12.02
"Henry County, GA",13151,2010,2010,2679,203922,13.14
"Henry County, GA",13151,2020,2020,2643,239139,11.05
"Houston County, GA",13153,2010,2010,2007,139900,14.35
"Houston County, GA",13153,2020,2020,1919,160110,11.99
"Lowndes County, GA",13185,2020,2020,1581,118268,13.37
"Muscogee County, GA",13215,2010,2010,3298,189885,17.37
"Muscogee County, GA",13215,2020,2020,2815,196442,14.33
"Paulding County, GA",13223,2020,2020,1719,173359,9.92
"Richmond County, GA",13245,2010,2010,3006,200549,14.99
"Richmond County, GA",13245,2020,2020,2879,202079,14.25
"Whitfield County, GA",13313,2020,2020,1264,103837,12.17
"Unidentified Counties, GA",13999,2010,2010,59872,4656681,12.86
"Unidentified Counties, GA",13999,2020,2020,39832,3580354,11.13
"Hawaii County, HI",15001,2010,2010,2399,185079,12.96
"Hawaii County, HI",15001,2020,2020,2030,203340,9.98
"Honolulu County, HI",15003,2010,2010,13732,953207,14.41
"Honolulu County, HI",15003,2020,2020,11331,963826,11.76
"Maui County, HI",15009,2010,2010,2014,154834,13.01
"Maui County, HI",15009,2020,2020,1697,167902,10.11
"Unidentified Counties, HI",15999,2010,2010,843,67181,12.55
"Unidentified Counties, HI",15999,2020,2020,727,71938,10.11
"Ada County, ID",16001,2010,2010,5045,392365,12.86
"Ada County, ID",16001,2020,2020,4883,494399,9.88
"Bonneville County, ID",16019,2020,2020,1779,122134,14.57
"Canyon County, ID",16027,2010,2010,3155,188923,16.7
"Canyon County, ID",16027,2020,2020,3197,237053,13.49
"Kootenai County, ID",16055,2010,2010,1723,138494,12.44
"Kootenai County, ID",16055,2020,2020,1830,170628,10.73
"Unidentified Counties, ID",16999,2010,2010,13275,847800,15.66
"Unidentified Counties, ID",16999,2020,2020,9844,802699,12.26
"Champaign County, IL",17019,2010,2010,2348,201081,11.68
"Champaign County, IL",17019,2020,2020,2105,209192,10.06
"Cook County, IL",17031,2010,2010,73079,5194675,14.07
"Cook County, IL",17031,2020,2020,56119,5108284,10.99
"DeKalb County, IL",17037,2020,2020,1037,104491,9.92
"DuPage County, IL",17043,2010,2010,10768,916924,11.74
"DuPage County, IL",17043,2020,2020,9367,917481,10.21
"Kane County, IL",17089,2010,2010,7230,515269,14.03
"Kane County, IL",17089,2020,2020,5637,531010,10.62
"Kankakee County, IL",17091,2010,2010,1434,113449,12.64
"Kankakee County, IL",17091,2020,2020,1151,108594,10.6
"Kendall County, IL",17093,2020,2020,1403,130638,10.74
"Lake County, IL",17097,2010,2010,8444,703462,12
"Lake County, IL",17097,2020,2020,6611,693593,9.53
"LaSalle County, IL",17099,2010,2010,1260,113924,11.06
"LaSalle County, IL",17099,2020,2020,1068,107571,9.93
"McHenry County, IL",17111,2010,2010,3432,308760,11.12
"McHenry County, IL",17111,2020,2020,2986,305888,9.76
"McLean County, IL",17113,2010,2010,2121,169572,12.51
"McLean County, IL",17113,2020,2020,1699,171256,9.92
"Macon County, IL",17115,2010,2010,1429,110768,12.9
"Macon County, IL",17115,2020,2020,1253,103015,12.16
"Madison County, IL",17119,2010,2010,3234,269282,12.01
"Madison County, IL",17119,2020,2020,2596,262635,9.88
"Peoria County, IL",17143,2010,2010,2564,186494,13.75
"Peoria County, IL",17143,2020,2020,2234,177652,12.58
"Rock Island County, IL",17161,2010,2010,1968,147546,13.34
"Rock Island County, IL",17161,2020,2020,1586,140907,11.26
"St. Clair County, IL",17163,2010,2010,3498,270056,12.95
"St. Clair County, IL",17163,2020,2020,2879,258046,11.16
"Sangamon County, IL",17167,2010,2010,2481,197465,12.56
"Sangamon County, IL",17167,2020,2020,2165,193882,11.17
"Tazewell County, IL",17179,2010,2010,1606,135394,11.86
"Tazewell County, IL",17179,2020,2020,1256,130777,9.6
"Will County, IL",17197,2010,2010,8561,677560,12.64
"Will County, IL",17197,2020,2020,6823,688726,9.91
"Winnebago County, IL",17201,2010,2010,3783,295266,12.81
