fips,TOT_POP_1519_C,TOT_POP_2024_C,TOT_POP_2529_C,TOT_POP_3034_C,TOT_POP_3539_C,TOT_FEMALE_1519_C,TOT_FEMALE_2024_C,TOT_FEMALE_2529_C,TOT_FEMALE_3034_C,TOT_FEMALE_3539_C,WA_FEMALE_1519_C,WA_FEMALE_2024_C,WA_FEMALE_2529_C,WA_FEMALE_3034_C,WA_FEMALE_3539_C,BA_FEMALE_1519_C,BA_FEMALE_2024_C,BA_FEMALE_2529_C,BA_FEMALE_3034_C,BA_FEMALE_3539_C,H_FEMALE_1519_C,H_FEMALE_2024_C,H_FEMALE_2529_C,H_FEMALE_3034_C,H_FEMALE_3539_C,NHWA_FEMALE_1519_C,NHWA_FEMALE_2024_C,NHWA_FEMALE_2529_C,NHWA_FEMALE_3034_C,NHWA_FEMALE_3539_C,NHBA_FEMALE_1519_C,NHBA_FEMALE_2024_C,NHBA_FEMALE_2529_C,NHBA_FEMALE_3034_C,NHBA_FEMALE_3539_C,dem2010_P,birth_rate_2010_N,births_2010_N,birth_rate_2020_N,births_2020_N,NHWA_FEMALE_2034_share_X,NHBA_FEMALE_2034_share_X,H_FEMALE_2034_share_X,race_category_X,regime_X,pol_group_X,reg_Minority_majority_X,reg_Mixed_Competitive_X,reg_Mixed_Democratic_X,reg_Mixed_Republican_X,reg_White_Competitive_X,reg_White_Democratic_X,reg_White_Republican_X
12019,15061,10835,10732,10961,13122,7252,5317,5449,5764,6912,5690,4341,4468,4663,5604,998,632,632,694,836,701,495,474,534,604,5139,3944,4080,4215,5091,931,583,584,655,794,0.2744823075076916,11.19,2135.0,9.5,2107.0,0.740411373260738,0.11022383545069571,0.09092558983666062,White,White_Republican,Republican,False,False,False,False,False,False,True
12021,17613,15516,16504,16046,16892,8395,7136,7878,7738,8452,7011,6138,6825,6676,7260,1046,754,763,726,829,3158,3020,3299,3310,3211,4038,3273,3689,3511,4189,969,694,690,670,764,0.3650944715533851,10.39,3339.0,8.06,3166.0,0.46031118143459915,0.09027777777777778,0.42321554149085794,Mixed,Mixed_Republican,Republican,False,False,False,True,False,False,False
12031,58187,66043,68856,59999,58323,28707,32557,34714,30460,29535,15388,19578,21191,18026,17148,11087,10669,10700,9844,9871,2433,2896,2986,2736,2440,13499,17319,18804,15821,15161,10757,10272,10339,9491,9584,0.4825178571292072,14.6,12618.0,12.93,12495.0,0.5314997288475509,0.30800871780704175,0.08818082287094167,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
12033,23216,26402,20975,17141,16632,10724,12564,10079,8405,8189,6631,8524,6758,5646,5565,3208,3001,2556,2155,2042,639,801,555,461,378,6136,7881,6315,5285,5261,3144,2929,2501,2107,2003,0.395236967113288,13.19,3925.0,11.57,3731.0,0.6274478227261016,0.24275315640298892,0.05852228807008503,White,White_Republican,Republican,False,False,False,False,False,False,True
12053,9957,7823,7581,7778,8914,4897,3946,3874,4071,4715,4281,3500,3419,3582,4189,389,323,292,315,323,762,537,496,560,558,3602,3013,2974,3084,3692,347,296,265,288,283,0.4643314716379048,8.46,1461.0,7.99,1589.0,0.7628458498023716,0.07139853670843495,0.13396686569674543,White,White_Competitive,Competitive,False,False,False,False,True,False,False
12057,88167,91853,90023,83854,86098,43319,47348,46015,42515,43672,30347,34044,33261,30797,32273,9902,10107,9320,8212,7893,12161,12382,11991,11786,11410,19650,23161,22643,20315,22020,9038,9164,8420,7373,7143,0.5301028280421018,13.35,16412.0,11.07,16589.0,0.4866056315223951,0.1836721176349372,0.26611371966028347,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
12061,8012,6037,6421,6034,6551,3629,2881,3076,3038,3306,2924,2337,2502,2505,2776,527,443,450,407,383,598,563,549,561,563,2372,1813,1993,1990,2250,507,420,431,383,371,0.4027861862911768,9.47,1307.0,7.35,1194.0,0.6443579766536965,0.13718732629238467,0.1859922178988327,White,White_Competitive,Competitive,False,False,False,False,True,False,False
12069,17224,13499,14268,14644,16841,8392,6649,7331,7504,8727,6511,5322,6003,6029,7090,1363,983,947,1048,1086,1471,1192,1261,1377,1438,5227,4282,4878,4820,5801,1267,905,884,962,1019,0.4191055811828392,10.52,3124.0,8.79,3301.0,0.6507168125116366,0.12804878048780488,0.17827220256935394,White,White_Competitive,Competitive,False,False,False,False,True,False,False
12071,35161,32993,33570,32308,34235,17174,16286,16454,15896,17056,13885,13500,13736,13114,14301,2455,2131,1975,1993,1925,4512,4142,4367,4413,4586,9789,9751,9743,9062,10058,2225,1918,1778,1807,1730,0.4291974082078492,10.22,6321.0,8.57,6775.0,0.5871371000904679,0.11314664034871288,0.2656879677605066,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
12073,27231,43722,23281,16673,15350,14722,22712,11694,8665,8036,8838,13677,6460,4828,4765,5209,7933,4479,3160,2713,1063,1914,756,501,434,7918,12093,5839,4414,4399,5119,7698,4390,3109,2672,0.6149877964774368,11.22,3092.0,9.94,2936.0,0.5188177660142556,0.3528360149520559,0.07362262311067772,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
12081,18100,16031,16627,16126,17484,8861,7871,8377,7983,8916,6959,6350,6809,6535,7471,1406,1168,1146,1017,995,1871,1870,1977,1899,1758,5263,4659,5004,4794,5834,1315,1079,1070,945,938,0.4470189456637923,10.37,3348.0,8.25,3392.0,0.5966324130246379,0.12768767281581445,0.237134249515084,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
12083,19033,16336,16473,15337,16921,9214,8172,8508,7893,8838,7068,6259,6619,6152,7009,1754,1604,1529,1370,1407,1453,1220,1255,1106,1219,5791,5201,5514,5164,5906,1651,1513,1436,1305,1349,0.4256637601934698,10.27,3402.0,9.16,3422.0,0.6461970455377853,0.17311683555121474,0.14572905221177715,White,White_Competitive,Competitive,False,False,False,False,True,False,False
12085,7805,6422,6394,6042,6755,3709,2893,2765,2762,3265,3222,2445,2392,2390,2869,299,285,213,209,223,701,633,684,619,606,2604,1900,1799,1862,2333,282,272,196,183,208,0.4048457548970412,8.39,1228.0,7.7,1248.0,0.6604513064133016,0.07731591448931116,0.22992874109263658,White,White_Competitive,Competitive,False,False,False,False,True,False,False
12086,168514,176823,172129,168338,184733,82420,87711,87100,85421,92740,58744,63030,64381,65567,73219,20954,21469,19442,16610,16464,50381,53532,54617,57470,65175,11073,12500,12449,10754,10726,18990,19265,17493,14747,14410,0.5976531310886593,12.56,31353.0,10.22,27675.0,0.13719680900119893,0.1979195487103815,0.6364282640105752,Hispanic,Minority_majority,Competitive,True,False,False,False,False,False,False
12091,11942,13678,13772,11223,10384,5540,6129,6441,5348,5144,4415,4885,5108,4267,4184,639,733,710,602,485,448,550,613,470,353,4051,4446,4605,3861,3902,616,693,666,581,464,0.2589454639398443,14.0,2532.0,12.02,2558.0,0.7206161401942182,0.10827101238977564,0.09113740372809466,White,White_Republican,Republican,False,False,False,False,False,False,True
