fips,TOT_POP_1519_C,TOT_POP_2024_C,TOT_POP_2529_C,TOT_POP_3034_C,TOT_POP_3539_C,TOT_FEMALE_1519_C,TOT_FEMALE_2024_C,TOT_FEMALE_2529_C,TOT_FEMALE_3034_C,TOT_FEMALE_3539_C,WA_FEMALE_1519_C,WA_FEMALE_2024_C,WA_FEMALE_2529_C,WA_FEMALE_3034_C,WA_FEMALE_3539_C,BA_FEMALE_1519_C,BA_FEMALE_2024_C,BA_FEMALE_2529_C,BA_FEMALE_3034_C,BA_FEMALE_3539_C,H_FEMALE_1519_C,H_FEMALE_2024_C,H_FEMALE_2529_C,H_FEMALE_3034_C,H_FEMALE_3539_C,NHWA_FEMALE_1519_C,NHWA_FEMALE_2024_C,NHWA_FEMALE_2529_C,NHWA_FEMALE_3034_C,NHWA_FEMALE_3539_C,NHBA_FEMALE_1519_C,NHBA_FEMALE_2024_C,NHBA_FEMALE_2529_C,NHBA_FEMALE_3034_C,NHBA_FEMALE_3539_C,dem2020_P,birth_rate_2020_N,births_2020_N,NHWA_FEMALE_2034_share_X,NHBA_FEMALE_2034_share_X,H_FEMALE_2034_share_X,race_category_X,regime_X,pol_group_X,reg_Minority_majority_X,reg_Mixed_Competitive_X,reg_Mixed_Democratic_X,reg_Mixed_Republican_X,reg_White_Competitive_X,reg_White_Democratic_X,reg_White_Republican_X
6089,10408,9421,11192,11938,11645,5007,4518,5559,5919,5840,4118,3795,4645,5041,5047,55,77,82,89,64,803,757,780,722,698,3477,3187,4039,4473,4477,44,68,75,74,58,0.3228236306897665,10.28,1841.0,0.7313703425856464,0.013565891472868217,0.14122280570142537,White,White_Republican,Republican,False,False,False,False,False,False,True
6095,27238,27904,32100,33203,31922,13109,13058,15464,16157,15403,7449,7343,8776,9215,9056,1847,2078,2479,2431,2057,5210,4902,5022,4753,4574,3258,3391,4700,5375,5292,1621,1849,2234,2195,1846,0.6394060531288099,11.09,4957.0,0.30139439110096466,0.14051344031871796,0.32849884733319906,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
6097,29872,26690,29981,31440,32911,14805,13252,14571,15309,16281,12214,10943,12082,12829,13698,356,395,393,357,359,6394,5485,5390,4898,5334,6706,6186,7456,8611,9097,239,297,257,282,271,0.7451559163228569,8.8,4312.0,0.5159278493925624,0.019382361123991467,0.36569136603913566,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
6099,40616,36143,39475,39532,37690,19762,17837,19471,19508,18476,16359,14593,15826,15880,15070,693,684,786,716,653,12179,10480,10467,9659,9138,5396,5212,6483,7235,6865,479,453,573,521,476,0.4923890692892432,12.94,7118.0,0.3331807941424951,0.02722824556462968,0.5386862855533653,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
6107,38785,32847,33886,32466,32288,18994,16314,16795,15929,15863,16650,14337,14592,13744,13779,485,354,433,441,331,14540,12381,11808,10653,10621,3332,2952,3699,4008,4070,204,153,222,217,172,0.4500459543180038,14.21,6658.0,0.2173620457604307,0.012072270484114361,0.7105102165667442,Hispanic,Minority_majority,Competitive,True,False,False,False,False,False,False
6111,56295,54119,57256,54862,54615,27677,26733,27938,26495,26667,22831,22300,23092,21879,21859,647,637,808,688,611,15344,14104,14566,13038,12870,9038,9498,9988,10139,10143,398,438,579,474,417,0.5945438420150181,9.79,8241.0,0.3649927309464554,0.018369760737254517,0.5138604834536629,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
6113,20539,29413,15531,13601,13900,10792,15583,7704,6566,7016,6892,9350,5546,4771,5245,294,483,261,263,198,3701,4443,2791,2281,2458,3678,5625,3126,2792,3060,234,368,207,191,169,0.6947807675704566,8.91,1957.0,0.38666130707131613,0.025659062740763072,0.31872843600308176,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
8001,36810,32870,40502,43212,41920,17837,15971,19597,20732,20148,14974,13401,16385,17550,17239,752,678,833,838,779,10156,8608,8260,7968,7901,5893,5711,8971,10425,10102,512,491,677,666,618,0.5668750528005406,11.61,6034.0,0.44595026642984015,0.032575488454706925,0.4411367673179396,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
8005,41117,38096,50198,52022,50794,19950,18622,24327,25209,24927,14234,13450,18044,18826,18564,2553,2394,2915,2994,3064,6222,5400,5725,5198,5137,8941,8814,13072,14291,14155,2253,2129,2664,2770,2790,0.60998677834161,11.11,7307.0,0.5307814196425952,0.11096276299187183,0.23948766102291733,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
8013,29650,33211,23701,21861,20763,14632,15845,10787,10102,9903,12775,13709,9476,8982,8908,177,209,165,131,97,2736,2473,1782,1580,1528,10349,11468,7870,7540,7506,126,146,137,112,76,0.7718607934559534,7.52,2459.0,0.7316927097511842,0.010752980889639026,0.15884466706593348,White,White_Democratic,Democratic,False,False,False,False,False,True,False
